2,135 Airways,,GNL,United States,N
9,3D Aviation,,SEC,United States,N
10,40-Mile Air,Q5,MLA,United States,Y
12,611897 Alberta Limited,,THD,Canada,N
17,Aero Aviation Centre Ltd.,,AAD,Canada,N
22,Aloha Airlines,AQ,AAH,United States,Y
23,Alaska Island Air,,AAK,United States,N
24,American Airlines,AA,AAL,United States,Y
25,Aviation Management Corporation,,AAM,United States,N
26,Atlantis Airlines (USA),,AAO,United States,N
31,Astro Air International,,AAV,United States,N
35,Allegiant Air,G4,AAY,United States,Y
36,Angus Aviation,,AAZ,Canada,N
44,Alberta Citylink,,ABK,Canada,N
49,Airborne Express,GB,ABX,United States,N
50,ABX Air,GB,ABX,United States,N
53,Academy Airlines,,ACD,United States,N
57,Air Aurora,,AAI,United States,N
61,Air Charters,,ACX,Canada,N
66,Advance Leasing Company,4G,,United States,N
67,Aztec Worldwide Airlines,7A,,United States,N
81,Aerodyne,,ADY,United States,N
82,Avion Taxi,,ADQ,Canada,N
85,Air Dorval,,ADT,Canada,N
87,Advance Air Charters,,ADV,Canada,N
89,Anderson Aviation,,ADX,United States,N
91,Air Southwest Ltd.,,ASW,Canada,N
107,Air Alma,,AAJ,Canada,N
109,Alaska Central Express,KO,AER,United States,Y
115,Airway Express,,AEX,United States,N
117,Aerial Transit Company,,AEZ,United States,N
126,Air Fecteau,,AFH,Canada,N
134,Air Brasd'or,,BRL,Canada,N
135,Air 500,,BRM,Canada,N
140,Air Caledonia,,ACM,Canada,N
141,Air Guam,,AGM,United States,N
145,Air Cargo America,,MVM,United States,N
149,Air Cargo Carriers,2Q,SNC,United States,Y
152,Air Sandy,,SNY,Canada,N
164,Atlantic Gulf Airlines,,AGF,United States,N
166,Algoma Airways,,AGG,Canada,N
177,Atlantic Coast Airlines,,BLR,United States,N
182,Aero Flight Service,,AGY,United States,N
188,Aspen Helicopters,,AHF,United States,N
201,Air Integra,,AII,Canada,N
205,Alpine Air Express,5A,AIP,United States,N
210,Airlift International,,AIR,United States,Y
212,Air Baffin,,BFF,Canada,N
215,Air Brousse,,ABT,Canada,N
217,Air Illinois,,AIL,United States,N
222,Air Inuit,,AIE,Canada,N
228,Atlantic Island Airways,,AIW,Canada,N
236,Ameristar Jet Charter,,AJI,United States,N
237,A2 Jet Leasing,,AJJ,United States,N
246,Amerijet International,M6,AJT,United States,N
249,Alpha Jet International,,AJW,United States,N
254,Air BC,,ABL,Canada,N
262,Aklak Air,,AKK,Canada,N
264,Alkan Air,,AKN,Canada,N
273,American Flyers,,FYS,United States,N
274,Aero Coach Aviation,,DFA,United States,N
275,Atlantic Southeast Airlines,,CAA,United States,N
277,Air Logistics,,ALG,United States,N
280,Air Lincoln,,ALN,United States,N
281,America West Airlines,HP,AWE,United States,Y
282,Air Wisconsin,ZW,AWI,United States,Y
285,Arizona Express Airlines,,TMP,United States,N
287,Allegheny Commuter Airlines,,ALO,United States,Y
289,Altair Aviation (1986),,ALQ,Canada,N
293,Alyeska Air Service,,ALY,United States,N
294,Alta Flights (Charters) Ltd.,,ALZ,Canada,N
295,Air Sunshine,,RSI,United States,Y
298,Ameriflight,,AMF,United States,N
304,Aviation Amos,,AMJ,Canada,N
309,Air Montreal (Air Holdings Inc.),,AMO,Canada,N
313,Air Specialties Corporation,,AMR,United States,N
314,Air Muskoka,,AMS,Canada,N
315,ATA Airlines,,AMT,United States,Y
318,Air Midwest,ZV,AMW,United States,N
330,Air Canada,AC,ACA,Canada,Y
341,Air North Charter - Canada,4N,ANT,Canada,Y
342,Air Nevada,,ANV,United States,N
368,Air Vegas,6V,VGA,United States,N
376,Air Park Aviation Ltd.,,APA,Canada,N
384,Atlantic Airlines,,BJK,United States,N
387,ACM Aviation,,BJT,United States,N
392,Aeropro,,APO,Canada,N
394,Aspen Aviation,,APQ,United States,N
397,Arrow Air,JW,APW,United States,Y
398,Apex Air Cargo,,APX,United States,N
